"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 29 15:42:00 GMT 2024","Thu Feb 29 15:42:00 GMT 2024","53","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithNullNameTest","unsuccessfulProjectCreationWithNullNameTest",""
"passed","Thu Feb 29 15:43:07 GMT 2024","Thu Feb 29 15:43:14 GMT 2024","6942","UI Suite","UI Test","com.example.teamcity.ui.CreateNewUiProjectTest","com.example.teamcity.ui.CreateNewUiProjectTest","authorizedUserShouldBeAbleToCreateProjectWith255CharactersName","authorizedUserShouldBeAbleToCreateProjectWith255CharactersName",""
"passed","Thu Feb 29 15:41:59 GMT 2024","Thu Feb 29 15:41:59 GMT 2024","59","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithEmptyNameTest","unsuccessfulProjectCreationWithEmptyNameTest",""
"passed","Thu Feb 29 15:41:51 GMT 2024","Thu Feb 29 15:41:51 GMT 2024","144","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationTest","successfulProjectCreationTest",""
"passed","Thu Feb 29 15:41:38 GMT 2024","Thu Feb 29 15:41:42 GMT 2024","4055","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","successfulBuildConfigurationTest","successfulBuildConfigurationTest",""
"passed","Thu Feb 29 15:41:58 GMT 2024","Thu Feb 29 15:41:58 GMT 2024","93","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithEmptyIdTest","unsuccessfulProjectCreationWithEmptyIdTest",""
"passed","Thu Feb 29 15:41:54 GMT 2024","Thu Feb 29 15:41:54 GMT 2024","95","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationWithId255CharactersTest","successfulProjectCreationWithId255CharactersTest",""
"passed","Thu Feb 29 15:41:42 GMT 2024","Thu Feb 29 15:41:43 GMT 2024","239","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","successfulBuildConfigurationWithAllAllowedCharactersTest","successfulBuildConfigurationWithAllAllowedCharactersTest",""
"passed","Thu Feb 29 15:42:05 GMT 2024","Thu Feb 29 15:42:05 GMT 2024","47","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithWrongParentRootTest","unsuccessfulProjectCreationWithWrongParentRootTest",""
"passed","Thu Feb 29 15:42:04 GMT 2024","Thu Feb 29 15:42:04 GMT 2024","47","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithSpecialSymbolInNameTest","unsuccessfulProjectCreationWithSpecialSymbolInNameTest",""
"passed","Thu Feb 29 15:41:53 GMT 2024","Thu Feb 29 15:41:53 GMT 2024","89","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationWithAllAllowedCharactersTest","successfulProjectCreationWithAllAllowedCharactersTest",""
"failed","Thu Feb 29 15:42:15 GMT 2024","Thu Feb 29 15:42:41 GMT 2024","25788","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldBeAbleToCreateBuildConfig","authorizedUserShouldBeAbleToCreateBuildConfig",""
"passed","Thu Feb 29 15:41:46 GMT 2024","Thu Feb 29 15:41:46 GMT 2024","131","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithNameNullTest","unsuccessfulBuildConfigurationWithNameNullTest",""
"passed","Thu Feb 29 15:41:43 GMT 2024","Thu Feb 29 15:41:43 GMT 2024","294","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","successfulBuildConfigurationWithId255CharactersTest","successfulBuildConfigurationWithId255CharactersTest",""
"passed","Thu Feb 29 15:41:49 GMT 2024","Thu Feb 29 15:41:50 GMT 2024","691","API Suite","API Test","com.example.teamcity.api.BuildRunTest","com.example.teamcity.api.BuildRunTest","successfulBuildRunTest","successfulBuildRunTest",""
"passed","Thu Feb 29 15:43:14 GMT 2024","Thu Feb 29 15:43:18 GMT 2024","4415","UI Suite","UI Test","com.example.teamcity.ui.CreateNewUiProjectTest","com.example.teamcity.ui.CreateNewUiProjectTest","authorizedUserShouldNotBeAbleToCreateProjectWithEmptyName","authorizedUserShouldNotBeAbleToCreateProjectWithEmptyName",""
"passed","Thu Feb 29 15:38:44 GMT 2024","Thu Feb 29 15:39:40 GMT 2024","56216","Surefire suite","Surefire test","com.example.teamcity.setup.SetupTest","com.example.teamcity.setup.SetupTest","startUpServerTest","startUpServerTest",""
"passed","Thu Feb 29 15:42:59 GMT 2024","Thu Feb 29 15:43:07 GMT 2024","8179","UI Suite","UI Test","com.example.teamcity.ui.CreateNewUiProjectTest","com.example.teamcity.ui.CreateNewUiProjectTest","authorizedUserShouldBeAbleToCreateProject","authorizedUserShouldBeAbleToCreateProject",""
"passed","Thu Feb 29 15:41:44 GMT 2024","Thu Feb 29 15:41:44 GMT 2024","148","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithId256CharactersTest","unsuccessfulBuildConfigurationWithId256CharactersTest",""
"passed","Thu Feb 29 15:41:55 GMT 2024","Thu Feb 29 15:41:55 GMT 2024","78","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationWithIdNullTest","successfulProjectCreationWithIdNullTest",""
"failed","Thu Feb 29 15:42:52 GMT 2024","Thu Feb 29 15:42:59 GMT 2024","6921","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldNotBeAbleToCreateBuildConfigWithEmptyName","authorizedUserShouldNotBeAbleToCreateBuildConfigWithEmptyName",""
"passed","Thu Feb 29 15:41:56 GMT 2024","Thu Feb 29 15:41:56 GMT 2024","77","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationWithNullParentProjectTest","successfulProjectCreationWithNullParentProjectTest",""
"broken","Thu Feb 29 15:42:41 GMT 2024","Thu Feb 29 15:42:52 GMT 2024","10507","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldBeAbleToCreateBuildConfigWithLongBuildIdContainingDifferentCharacters","authorizedUserShouldBeAbleToCreateBuildConfigWithLongBuildIdContainingDifferentCharacters",""
"passed","Thu Feb 29 15:41:48 GMT 2024","Thu Feb 29 15:41:48 GMT 2024","174","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithSameNameTest","unsuccessfulBuildConfigurationWithSameNameTest",""
"passed","Thu Feb 29 15:41:43 GMT 2024","Thu Feb 29 15:41:44 GMT 2024","282","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWith1CharacterInIdNullTest","unsuccessfulBuildConfigurationWith1CharacterInIdNullTest",""
"passed","Thu Feb 29 15:42:02 GMT 2024","Thu Feb 29 15:42:02 GMT 2024","78","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithSameNameTest","unsuccessfulProjectCreationWithSameNameTest",""
"passed","Thu Feb 29 15:40:52 GMT 2024","Thu Feb 29 15:41:25 GMT 2024","33473","Surefire suite","Surefire test","com.example.teamcity.setup.StartUpAgentTest","com.example.teamcity.setup.StartUpAgentTest","authorizeAgentTest","authorizeAgentTest",""
"passed","Thu Feb 29 15:43:18 GMT 2024","Thu Feb 29 15:43:26 GMT 2024","7688","UI Suite","UI Test","com.example.teamcity.ui.CreateNewUiProjectTest","com.example.teamcity.ui.CreateNewUiProjectTest","authorizedUserShouldNotBeAbleToCreateProjectWithSameName","authorizedUserShouldNotBeAbleToCreateProjectWithSameName",""
"passed","Thu Feb 29 15:41:45 GMT 2024","Thu Feb 29 15:41:45 GMT 2024","182","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithIdNullTest","unsuccessfulBuildConfigurationWithIdNullTest",""
